,0
0,SOE/SOSS GSR 2-1
1,SOE/SOSS GSR 2-10
2,SOE/SOSS GSR 2-11
3,SOE/SOSS GSR 2-12
4,SOE/SOSS GSR 2-13
5,SOE/SOSS GSR 2-14
6,SOE/SOSS GSR 2-15
7,SOE/SOSS GSR 2-16
8,SOE/SOSS GSR 2-17
9,SOE/SOSS GSR 2-2
10,SOE/SOSS GSR 2-3
11,SOE/SOSS GSR 2-4
12,SOE/SOSS GSR 2-5
13,SOE/SOSS GSR 2-6
14,SOE/SOSS GSR 2-7
15,SOE/SOSS GSR 2-8
16,SOE/SOSS GSR 2-9
17,SOE/SOSS GSR 3-1
18,SOE/SOSS GSR 3-10
19,SOE/SOSS GSR 3-11
20,SOE/SOSS GSR 3-12
21,SOE/SOSS GSR 3-13
22,SOE/SOSS GSR 3-14
23,SOE/SOSS GSR 3-15
24,SOE/SOSS GSR 3-16
25,SOE/SOSS GSR 3-17
26,SOE/SOSS GSR 3-18
27,SOE/SOSS GSR 3-2
28,SOE/SOSS GSR 3-3
29,SOE/SOSS GSR 3-4
30,SOE/SOSS GSR 3-5
31,SOE/SOSS GSR 3-6
32,SOE/SOSS GSR 3-7
33,SOE/SOSS GSR 3-8
34,SOE/SOSS GSR 3-9
35,SOE/SOSS GSR 4-10
36,SOE/SOSS GSR 4-4
37,SOE/SOSS GSR 4-5
38,SOE/SOSS GSR 4-6
39,SOE/SOSS GSR 4-7
40,SOE/SOSS GSR 4-8
41,SOE/SOSS GSR 4-9
